index,type_of_house,living_space,number_of_rooms,rent,construction_year,street,zipcode,region,tag,latitude,longitude
1978,Etagenwohnung,62,2.0,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555,50.122193200000005,50.122193200000005
1979,Etagenwohnung,45,1.0,205,,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266,50.11768970000001,50.11768970000001
1980,Dachgeschoss,80,3.0,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680,50.119712799999995,50.119712799999995
1981,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895,50.115520000000004,50.115520000000004
1982,Etagenwohnung,81,3.0,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550,50.1167958,50.1167958
1983,Dachgeschoss,20,1.0,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104,50.1223606,50.1223606
1984,Etagenwohnung,83,2.0,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807,50.116794,50.116794
1985,Etagenwohnung,100,2.0,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106,50.12266029999999,50.12266029999999
1986,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845,50.115520000000004,50.115520000000004
1987,Maisonette,115,3.0,1950,2009,Ohmstraße 55,60486,"Frankfurt am Main, Bockenheim",/expose/114348636,50.1174939,50.1174939
1988,,80,3.0,2050,1999,Ohmstr. 000,60486,"Frankfurt, Bockenheim",/expose/105155544,50.1176404,50.1176404
1989,Dachgeschoss,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435871,50.115520000000004,50.115520000000004
1990,Etagenwohnung,50,,950,2008,Galvanistraße 29,60486,"Frankfurt, Bockenheim",/expose/114484217,50.11795120000001,50.11795120000001
1991,Etagenwohnung,59,2.0,1110,,Ohmstraße 9,60486,"Frankfurt Bockenheim, Frankfurt am Main",/expose/114496934,50.1176404,50.1176404
1992,Etagenwohnung,82,3.0,1695,2006,,60486,"Frankfurt, Bockenheim",/expose/114286860,50.1223606,50.1223606
1993,Penthouse,85,3.0,1630,2002,,60487,"Frankfurt am Main, Bockenheim",/expose/57895064,50.1223606,50.1223606
1994,Etagenwohnung,20,1.0,775,2011,Salvador-Allende-Straße X,60487,"Frankfurt, Bockenheim",/expose/114524202,50.122509,50.122509
1995,,23,1.0,830,1988,Große Seestr. 000,60487,"Frankfurt, Bockenheim",/expose/114309547,50.1195267,50.1195267
1996,Etagenwohnung,65,2.0,1450,,Kurfürstenstraße 14A,60486,"Frankfurt am Main, Bockenheim",/expose/113847915,50.122193200000005,50.122193200000005
1997,Etagenwohnung,110,2.0,2200,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113394833,50.12266029999999,50.12266029999999
1998,Etagenwohnung,62,2.0,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555,50.122193200000005,50.122193200000005
1999,Etagenwohnung,45,1.0,205,,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266,50.11768970000001,50.11768970000001
2000,Dachgeschoss,80,3.0,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680,50.119712799999995,50.119712799999995
2001,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895,50.115520000000004,50.115520000000004
2002,Etagenwohnung,81,3.0,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550,50.1167958,50.1167958
2003,Dachgeschoss,20,1.0,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104,50.1223606,50.1223606
2004,Etagenwohnung,83,2.0,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807,50.116794,50.116794
2005,Etagenwohnung,100,2.0,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106,50.12266029999999,50.12266029999999
2006,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845,50.115520000000004,50.115520000000004
2007,Maisonette,115,3.0,1950,2009,Ohmstraße 55,60486,"Frankfurt am Main, Bockenheim",/expose/114348636,50.1174939,50.1174939
2008,,80,3.0,2050,1999,Ohmstr. 000,60486,"Frankfurt, Bockenheim",/expose/105155544,50.1176404,50.1176404
2009,Dachgeschoss,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435871,50.115520000000004,50.115520000000004
2010,Etagenwohnung,50,,950,2008,Galvanistraße 29,60486,"Frankfurt, Bockenheim",/expose/114484217,50.11795120000001,50.11795120000001
2011,Etagenwohnung,59,2.0,1110,,Ohmstraße 9,60486,"Frankfurt Bockenheim, Frankfurt am Main",/expose/114496934,50.1176404,50.1176404
2012,Etagenwohnung,82,3.0,1695,2006,,60486,"Frankfurt, Bockenheim",/expose/114286860,50.1223606,50.1223606
2013,Penthouse,85,3.0,1630,2002,,60487,"Frankfurt am Main, Bockenheim",/expose/57895064,50.1223606,50.1223606
2014,Etagenwohnung,20,1.0,775,2011,Salvador-Allende-Straße X,60487,"Frankfurt, Bockenheim",/expose/114524202,50.122509,50.122509
2015,,23,1.0,830,1988,Große Seestr. 000,60487,"Frankfurt, Bockenheim",/expose/114309547,50.1195267,50.1195267
2016,Etagenwohnung,65,2.0,1450,,Kurfürstenstraße 14A,60486,"Frankfurt am Main, Bockenheim",/expose/113847915,50.122193200000005,50.122193200000005
2017,Etagenwohnung,110,2.0,2200,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113394833,50.12266029999999,50.12266029999999
2018,Etagenwohnung,62,2.0,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555,50.122193200000005,50.122193200000005
2019,Etagenwohnung,45,1.0,205,,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266,50.11768970000001,50.11768970000001
2020,Dachgeschoss,80,3.0,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680,50.119712799999995,50.119712799999995
2021,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895,50.115520000000004,50.115520000000004
2022,Etagenwohnung,81,3.0,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550,50.1167958,50.1167958
2023,Dachgeschoss,20,1.0,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104,50.1223606,50.1223606
2024,Etagenwohnung,83,2.0,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807,50.116794,50.116794
2025,Etagenwohnung,100,2.0,2080,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113395106,50.12266029999999,50.12266029999999
2026,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435845,50.115520000000004,50.115520000000004
2027,Maisonette,115,3.0,1950,2009,Ohmstraße 55,60486,"Frankfurt am Main, Bockenheim",/expose/114348636,50.1174939,50.1174939
2028,,80,3.0,2050,1999,Ohmstr. 000,60486,"Frankfurt, Bockenheim",/expose/105155544,50.1176404,50.1176404
2029,Dachgeschoss,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435871,50.115520000000004,50.115520000000004
2030,Etagenwohnung,50,,950,2008,Galvanistraße 29,60486,"Frankfurt, Bockenheim",/expose/114484217,50.11795120000001,50.11795120000001
2031,Etagenwohnung,59,2.0,1110,,Ohmstraße 9,60486,"Frankfurt Bockenheim, Frankfurt am Main",/expose/114496934,50.1176404,50.1176404
2032,Etagenwohnung,82,3.0,1695,2006,,60486,"Frankfurt, Bockenheim",/expose/114286860,50.1223606,50.1223606
2033,Penthouse,85,3.0,1630,2002,,60487,"Frankfurt am Main, Bockenheim",/expose/57895064,50.1223606,50.1223606
2034,Etagenwohnung,20,1.0,775,2011,Salvador-Allende-Straße X,60487,"Frankfurt, Bockenheim",/expose/114524202,50.122509,50.122509
2035,,23,1.0,830,1988,Große Seestr. 000,60487,"Frankfurt, Bockenheim",/expose/114309547,50.1195267,50.1195267
2036,Etagenwohnung,65,2.0,1450,,Kurfürstenstraße 14A,60486,"Frankfurt am Main, Bockenheim",/expose/113847915,50.122193200000005,50.122193200000005
2037,Etagenwohnung,110,2.0,2200,2010,Leipziger Straße 00,60486,"Frankfurt-Bockenheim, Frankfurt am Main",/expose/113394833,50.12266029999999,50.12266029999999
2038,Etagenwohnung,62,2.0,1350,2011,Kurfürstenstr. 14a,60486,"Frankfurt am Main, Bockenheim",/expose/61973555,50.122193200000005,50.122193200000005
2039,Etagenwohnung,45,1.0,205,,Pfingstbrunnenstraße 40,60486,"Frankfurt, Bockenheim",/expose/83854266,50.11768970000001,50.11768970000001
2040,Dachgeschoss,80,3.0,1550,1880,Kurfürstenstr. 49,60486,"Frankfurt am Main, Bockenheim",/expose/114237680,50.119712799999995,50.119712799999995
2041,,60,2.0,1040,,Fritzlarer Strasse 9,60487,"Frankfurt a.M. - Bockenheim, Frankfurt am Main",/expose/114435895,50.115520000000004,50.115520000000004
2042,Etagenwohnung,81,3.0,1445,2005,Voltastraße 43,60486,"Frankfurt am Main, Bockenheim",/expose/114546550,50.1167958,50.1167958
2043,Dachgeschoss,20,1.0,440,1965,,60486,"Frankfurt, Bockenheim",/expose/82913104,50.1223606,50.1223606
2044,Etagenwohnung,83,2.0,1445,2005,Voltastraße 41,60486,"Frankfurt am Main, Bockenheim",/expose/113486807,50.116794,50.116794
